Date,Close
5/9/2016,1.64
5/10/2016,1.74
5/11/2016,1.74
5/12/2016,1.7
5/13/2016,1.68
5/16/2016,1.68
5/17/2016,1.65
5/18/2016,1.6
5/19/2016,1.45
5/20/2016,1.51
5/23/2016,1.47
5/24/2016,1.45
5/25/2016,1.46
5/26/2016,1.45
5/27/2016,1.44
5/30/2016,1.43
5/31/2016,1.46
6/1/2016,1.46
6/2/2016,1.43
6/3/2016,1.44
6/6/2016,1.38
6/7/2016,1.31
6/8/2016,1.45
6/9/2016,1.43
6/10/2016,1.47
6/14/2016,1.51
6/15/2016,1.71
6/16/2016,1.66
6/17/2016,1.69
6/20/2016,1.7
6/21/2016,1.73
6/22/2016,1.72
6/23/2016,1.71
6/24/2016,1.64
6/27/2016,1.66
6/28/2016,1.67
6/29/2016,1.74
6/30/2016,1.75
7/1/2016,1.76
7/4/2016,1.77
7/5/2016,1.74
7/6/2016,1.74
7/7/2016,1.77
7/8/2016,1.79
7/11/2016,1.81
7/12/2016,1.79
7/13/2016,1.81
7/14/2016,1.87
7/15/2016,1.88
7/18/2016,1.87
7/19/2016,1.85
7/20/2016,1.88
7/21/2016,1.88
7/22/2016,1.87
7/25/2016,1.87
7/26/2016,1.84
7/27/2016,1.79
7/28/2016,1.84
7/29/2016,1.87
8/1/2016,1.9
8/2/2016,1.89
8/3/2016,1.87
8/4/2016,1.92
8/5/2016,1.93
8/8/2016,1.92
8/9/2016,1.92
8/10/2016,1.92
8/11/2016,1.93
8/12/2016,2
8/15/2016,2
8/16/2016,1.98
8/17/2016,2
8/18/2016,2
8/19/2016,2.05
8/22/2016,2.16
8/23/2016,2.19
8/24/2016,2.05
8/25/2016,2.03
8/26/2016,1.98
8/29/2016,1.88
8/30/2016,1.83
8/31/2016,1.85
9/1/2016,1.83
9/2/2016,1.82
9/5/2016,1.83
9/6/2016,1.89
9/7/2016,2.03
9/8/2016,1.96
9/9/2016,1.94
9/12/2016,1.86
9/13/2016,1.88
9/14/2016,1.86
9/15/2016,1.86
9/16/2016,1.87
9/19/2016,1.86
9/20/2016,1.8
9/21/2016,1.78
9/22/2016,1.8
9/23/2016,1.78
9/26/2016,1.77
9/27/2016,1.74
9/28/2016,1.73
9/29/2016,1.73
9/30/2016,1.73
10/3/2016,1.75
10/4/2016,1.79
10/5/2016,1.79
10/6/2016,1.85
10/7/2016,1.82
10/10/2016,1.8
10/11/2016,1.8
10/12/2016,1.8
10/13/2016,1.8
10/14/2016,1.8
10/17/2016,1.87
10/18/2016,1.84
10/19/2016,1.92
10/20/2016,1.92
10/21/2016,1.96
10/24/2016,2
10/25/2016,1.95
10/26/2016,1.92
10/27/2016,1.84
10/28/2016,1.8
10/31/2016,1.75
11/1/2016,1.75
11/2/2016,1.74
11/3/2016,1.73
11/4/2016,1.8
11/7/2016,1.88
11/8/2016,2.04
11/9/2016,1.94
11/10/2016,2.04
11/11/2016,2
11/14/2016,2.03
11/15/2016,2.03
11/16/2016,2.05
11/17/2016,2.04
11/18/2016,2.01
11/21/2016,1.97
11/22/2016,2.11
11/23/2016,2.24
11/24/2016,2.24
11/25/2016,2.28
11/28/2016,2.24
11/29/2016,2.3
11/30/2016,2.38
12/1/2016,2.46
12/2/2016,2.21
12/5/2016,2.19
12/6/2016,2.23
12/7/2016,2.26
12/8/2016,2.33
12/9/2016,2.31
12/12/2016,2.16
12/13/2016,2.16
12/14/2016,2.05
12/15/2016,1.99
12/16/2016,2.01
12/19/2016,1.96
12/20/2016,1.95
12/21/2016,2.07
12/22/2016,2.01
12/23/2016,1.98
12/28/2016,2
12/29/2016,2.03
12/30/2016,2.04
1/3/2017,2.02
1/4/2017,2
1/5/2017,2
1/6/2017,1.96
1/9/2017,2.01
1/10/2017,2
1/11/2017,2.18
1/12/2017,2.12
1/13/2017,2.12
1/16/2017,2.18
1/17/2017,2.22
1/18/2017,2.17
1/19/2017,2.15
1/20/2017,2.11
1/23/2017,2.06
1/24/2017,2.04
1/25/2017,2.1
1/27/2017,2.11
1/30/2017,2.11
1/31/2017,2.12
2/1/2017,2.13
2/2/2017,2.2
2/3/2017,2.25
2/6/2017,2.3
2/7/2017,2.3
2/8/2017,2.3
2/9/2017,2.36
2/10/2017,2.38
2/13/2017,2.45
2/14/2017,2.42
2/15/2017,2.36
2/16/2017,2.31
2/17/2017,2.35
